Date,Pageviews
16-06-2017,7152
17-06-2017,4450
18-06-2017,5228
19-06-2017,7729
20-06-2017,8069
21-06-2017,7988
22-06-2017,8028
23-06-2017,7354
24-06-2017,5462
25-06-2017,5696
26-06-2017,8458
27-06-2017,9660
28-06-2017,9386
29-06-2017,10369
30-06-2017,8719
01-07-2017,6562
02-07-2017,5637
03-07-2017,6492
04-07-2017,5740
05-07-2017,9927
06-07-2017,8924
07-07-2017,9266
08-07-2017,6087
09-07-2017,6523
10-07-2017,10183
11-07-2017,8978
12-07-2017,9778
13-07-2017,11060
14-07-2017,9506
15-07-2017,6251
16-07-2017,6610
17-07-2017,11183
18-07-2017,11386
19-07-2017,10573
20-07-2017,10120
21-07-2017,10410
22-07-2017,6484
23-07-2017,7039
24-07-2017,9707
25-07-2017,10728
26-07-2017,11200
27-07-2017,10175
28-07-2017,9359
29-07-2017,6293
30-07-2017,7258
31-07-2017,11115
01-08-2017,10939
